Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Bermudes,BMU,502.379,517.047,608.722,443.707,366.7,509.713,649.059,557.384,612.389,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Bhoutan,BTN,128.345,396.036,487.711,733.4,836.076,920.417,1037.761,1067.097,1261.448,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Bolivie,BOL,5757.19,11067.006,15188.714,16299.815,18819.044,19149.074,20329.848,20073.158,21605.964,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Bosnie-Herzégovine,BIH,..,13787.92,21275.934,23886.838,22258.69,21921.326,19424.099,18569.688,21847.986,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Botswana,BWA,2702.579,3780.677,4569.082,4033.7,5082.462,5669.182,6857.29,5430.827,6340.243,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Brésil,BRA,208886.988,327983.814,419754.156,439412.943,470028.726,503677.118,533530.165,504388.516,462298.69,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Îles Vierges britanniques,VGB,66.006,124.678,198.018,201.685,201.685,201.685,212.686,212.686,212.686,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Brunéi Darussalam,BRN,6193.563,4712.095,8203.079,9695.548,9666.212,7803.376,9053.823,7073.643,7664.03,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Bulgarie,BGR,74480.437,43530.957,44114.01,49354.153,44862.078,39599.933,42328.181,44737.4,41708.458,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Burkina Faso,BFA,583.053,1041.428,2104.858,2200.2,2698.912,2929.933,2959.269,3329.636,3417.644,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Burundi,BDI,209.019,271.358,308.028,425.372,388.702,410.704,385.035,403.37,495.045,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Cabo Verde,CPV,95.342,216.353,557.384,616.056,506.046,498.712,491.378,495.045,542.716,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Cambodge,KHM,1261.448,1976.513,5126.466,5218.141,5456.496,5603.176,6684.941,8628.451,9919.235,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Cameroun,CMR,682.062,3432.312,6780.283,6299.906,6024.881,5020.123,6798.618,7928.054,8291.087,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Canada,CAN,435181.225,534380.909,527263.262,522774.854,517721.728,519188.528,540614.809,549430.277,544894.198,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Îles Caïmans,CYM,249.356,465.709,557.384,586.72,535.382,535.382,546.383,557.384,546.383,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,République centrafricaine,CAF,198.018,267.691,264.024,278.692,293.36,286.026,289.693,293.36,297.027,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Tchad,TCD,377.701,487.711,997.424,821.408,920.417,964.421,1001.091,1001.091,1015.759,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Îles Anglo-Normandes,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Chili,CHL,33314.695,58815.013,72250.901,79243.87,80974.694,83226.232,79100.857,83244.567,85822.468,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Chine,CHN,2442918.73,3405179.867,8776040.416,9733538.12,10028573.939,10258007.128,10291926.878,10145004.856,9893037.952,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Colombie,COL,57337.212,57923.932,77040.003,76926.326,80186.289,92734.763,86680.546,94109.888,97813.558,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Comores,COM,62.339,102.676,161.348,135.679,143.013,176.016,154.014,168.682,201.685,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,"Congo, République démocratique du",COD,4294.057,909.416,2020.517,2493.56,2405.552,3589.993,4671.758,2838.258,2020.517,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,"Congo, République du",COG,1188.108,1048.762,1972.846,2251.538,2962.936,3237.961,3157.287,3230.627,3281.965,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Costa Rica,CRI,2955.602,5474.831,7568.688,7374.337,7337.667,7719.035,7843.713,7513.683,8023.396,..,..,..
